Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2016","2016","toneladas","59589"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2017","2017","toneladas","57258"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2018","2018","toneladas","55824"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2000","2000","toneladas","651093"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2001","2001","toneladas","650841"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2002","2002","toneladas","678838"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2003","2003","toneladas","706369"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2004","2004","toneladas","713886"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2005","2005","toneladas","715329"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2006","2006","toneladas","670048"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2007","2007","toneladas","620166"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2008","2008","toneladas","658332"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2009","2009","toneladas","598431"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2010","2010","toneladas","606596"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2011","2011","toneladas","604113"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2012","2012","toneladas","591319"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2013","2013","toneladas","580840"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2014","2014","toneladas","585218"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2015","2015","toneladas","626104"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2016","2016","toneladas","637013"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2017","2017","toneladas","643861"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2018","2018","toneladas","669010"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2019","2019","toneladas","695170"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","867","Carne, ganado vacuno","2020","2020","toneladas","677740"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2000","2000","toneladas","652"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2001","2001","toneladas","667"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2002","2002","toneladas","686"
