Año;Elemento;Código Grupo de Productos;Grupo de Productos;Código Producto;Producto;Valor;Unidad
2001;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;6762600.0;toneladas
2001;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;6762600.0;toneladas
2001;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;6762600.0;toneladas
2001;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;6762600.0;toneladas
2002;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;4414911.0;toneladas
2002;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;4414911.0;toneladas
2002;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;4414911.0;toneladas
2002;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;4414911.0;toneladas
2003;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;7553566.0;toneladas
2003;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;7553566.0;toneladas
2003;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;7553566.0;toneladas
2003;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;7553566.0;toneladas
2004;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;5200029.0;toneladas
2004;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;5200029.0;toneladas
2004;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;5200029.0;toneladas
2004;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;5200029.0;toneladas
2005;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;4021720.0;toneladas
2005;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;4021720.0;toneladas
2005;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;4021720.0;toneladas
2005;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;4021720.0;toneladas
2006;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;5679021.0;toneladas
2006;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;5679021.0;toneladas
2006;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;5679021.0;toneladas
2006;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;5679021.0;toneladas
2007;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;6140251.0;toneladas
2007;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;6140251.0;toneladas
2007;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;6140251.0;toneladas
2007;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;6140251.0;toneladas
2008;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;5570727.0;toneladas
2008;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;5570727.0;toneladas
2008;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;5570727.0;toneladas
2008;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;5570727.0;toneladas
2009;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;6972094.0;toneladas
2009;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;6972094.0;toneladas
2009;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;6972094.0;toneladas
2009;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;6972094.0;toneladas
2010;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;7197600.0;toneladas
2010;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;7197600.0;toneladas
2010;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;7197600.0;toneladas
2010;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;7197600.0;toneladas
2011;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;7820060.0;toneladas
2011;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;7820060.0;toneladas
2011;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;7820060.0;toneladas
2011;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;7820060.0;toneladas
2012;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;3849300.0;toneladas
2012;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;3849300.0;toneladas
2012;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;3849300.0;toneladas
2012;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;3849300.0;toneladas
2013;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;9276100.0;toneladas
2013;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;9276100.0;toneladas
2013;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;9276100.0;toneladas
2013;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;9276100.0;toneladas
2014;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;4560400.0;toneladas
2014;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;4560400.0;toneladas
2014;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;4560400.0;toneladas
2014;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;4560400.0;toneladas
2015;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;5947700.0;toneladas
2015;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;5947700.0;toneladas
2015;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;5947700.0;toneladas
2015;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;5947700.0;toneladas
2016;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;7082550.0;toneladas
2016;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;7082550.0;toneladas
2016;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;7082550.0;toneladas
2016;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;7082550.0;toneladas
2017;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;6549499.0;toneladas
2017;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;6549499.0;toneladas
2017;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;6549499.0;toneladas
2017;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;6549499.0;toneladas
2018;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;9819570.0;toneladas
2018;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;9819570.0;toneladas
2018;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;9819570.0;toneladas
2018;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;9819570.0;toneladas
2000;Producción;1714;Cultivos Primarios;572;Aguacates;63843.0;toneladas
2000;Producción;1714;Cultivos Primarios;572;Aguacates;63843.0;toneladas
2000;Producción;1738;Frutas Primaria;572;Aguacates;63843.0;toneladas
2001;Producción;1714;Cultivos Primarios;572;Aguacates;74981.0;toneladas
2001;Producción;1714;Cultivos Primarios;572;Aguacates;74981.0;toneladas
2001;Producción;1738;Frutas Primaria;572;Aguacates;74981.0;toneladas
2002;Producción;1714;Cultivos Primarios;572;Aguacates;74204.0;toneladas
2002;Producción;1714;Cultivos Primarios;572;Aguacates;74204.0;toneladas
2002;Producción;1738;Frutas Primaria;572;Aguacates;74204.0;toneladas
2003;Producción;1714;Cultivos Primarios;572;Aguacates;76609.0;toneladas
2003;Producción;1714;Cultivos Primarios;572;Aguacates;76609.0;toneladas
2003;Producción;1738;Frutas Primaria;572;Aguacates;76609.0;toneladas
2004;Producción;1714;Cultivos Primarios;572;Aguacates;76297.0;toneladas
2004;Producción;1714;Cultivos Primarios;572;Aguacates;76297.0;toneladas
2004;Producción;1738;Frutas Primaria;572;Aguacates;76297.0;toneladas
2005;Producción;1714;Cultivos Primarios;572;Aguacates;74994.0;toneladas
2005;Producción;1714;Cultivos Primarios;572;Aguacates;74994.0;toneladas
2005;Producción;1738;Frutas Primaria;572;Aguacates;74994.0;toneladas
2006;Producción;1714;Cultivos Primarios;572;Aguacates;79824.0;toneladas
2006;Producción;1714;Cultivos Primarios;572;Aguacates;79824.0;toneladas
2006;Producción;1738;Frutas Primaria;572;Aguacates;79824.0;toneladas
2007;Producción;1714;Cultivos Primarios;572;Aguacates;82116.0;toneladas
